('1428997974', '84076180')
('779055648877281280', '84076180')
('936951022118895617', '84076180')
('48475861', '84076180')
('109233956', '84076180')
('620650049', '84076180')
('1359729006', '84076180')
('828400982396657664', '84076180')
('323766721', '84076180')
('585855020', '84076180')
('55292386', '84076180')
('836440117199929348', '84076180')
('951301452', '84076180')
('182561268', '84076180')
('2948494587', '84076180')
('90955059', '84076180')
('783645318810329088', '84076180')
('112578464', '84076180')
('90218430', '84076180')
('3744425248', '84076180')
('274685858', '84076180')
('3743811387', '84076180')
('955927582238826498', '84076180')
('4827649358', '84076180')
('708503461', '84076180')
('53302612', '84076180')
('2164788674', '84076180')
('16404987', '84076180')
('145456527', '84076180')
('47790978', '84076180')
('413177637', '84076180')
('823996518466252800', '84076180')
('195458943', '84076180')
('55040217', '84076180')
('739105716', '84076180')
('90897488', '84076180')
('51046040', '84076180')
('2435408934', '84076180')
('185339372', '84076180')
('949738692981207040', '84076180')
('154923332', '84076180')
('1534585640', '84076180')
('129209814', '84076180')
('25954698', '84076180')
('3353433945', '84076180')
('42246711', '84076180')
('99989513', '84076180')
('609836778', '84076180')
('204102599', '84076180')
('114251846', '84076180')
('152014042', '84076180')
('25610527', '84076180')
('718223429254701056', '84076180')
('768612467517845504', '84076180')
('2881939144', '84076180')
('2935449693', '84076180')
('603444903', '84076180')
('65385817', '84076180')
('339818725', '84076180')
('952017502539788289', '84076180')
('81408821', '84076180')
('97926287', '84076180')
('729816019892604929', '84076180')
('54218647', '84076180')
('49935523', '84076180')
('70527344', '84076180')
('1526013270', '84076180')
('882746929746239488', '84076180')
('477882845', '84076180')
('852929065677975557', '84076180')
('928937211827048448', '84076180')
('513733280', '84076180')
('741340215378386944', '84076180')
('2727793102', '84076180')
('851275179145576448', '84076180')
('18190265', '84076180')
('142833359', '84076180')
('227014761', '84076180')
('14794243', '84076180')
('947067675762741248', '84076180')
('2489889890', '84076180')
('50864927', '84076180')
('33905879', '84076180')
('68446854', '84076180')
('813843746', '84076180')
('2453812292', '84076180')
('33563681', '84076180')
('72342672', '84076180')
('52364309', '84076180')
('139593881', '84076180')
('715698774836903936', '84076180')
('4776538997', '84076180')
('760123682937274368', '84076180')
('762832647349559296', '84076180')
('904529030690549765', '84076180')
('75898294', '84076180')
('120949200', '84076180')
('2670047111', '84076180')
('3080752901', '84076180')
('780221605217759232', '84076180')
('4407427576', '84076180')
('458763064', '84076180')
('3188166737', '84076180')
('572121169', '84076180')
('949082153954037761', '84076180')
('1305446390', '84076180')
('903312695809728512', '84076180')
('2231967508', '84076180')
('733268459979673600', '84076180')
('817698183568621568', '84076180')
('253830656', '84076180')
('158578913', '84076180')
('380031380', '84076180')
('217210633', '84076180')
('180669004', '84076180')
('2183696818', '84076180')
('593623765', '84076180')
('379436034', '84076180')
('99332697', '84076180')
('266735953', '84076180')
('1052479411', '84076180')
('1535269585', '84076180')
('42299738', '84076180')
('25708285', '84076180')
('832382109641736192', '84076180')
('47487189', '84076180')
('85316876', '84076180')
('130706953', '84076180')
('2437579938', '84076180')
('63588670', '84076180')
('568566228', '84076180')
('73766821', '84076180')
('3167757969', '84076180')
('174426062', '84076180')
('218684207', '84076180')
('2163601862', '84076180')
('2586646436', '84076180')
('69152836', '84076180')
('47670535', '84076180')
('2484693134', '84076180')
('322954634', '84076180')
('28685589', '84076180')
('148474157', '84076180')
('248808099', '84076180')
('238107323', '84076180')
('259828860', '84076180')
('826233318605803522', '84076180')
('103668450', '84076180')
('905612856581914624', '84076180')
('915756312897650688', '84076180')
('134070649', '84076180')
('309972686', '84076180')
('1379482392', '84076180')
