('952960900750815232', '871133532810125312')
('189605798', '871133532810125312')
('57813371', '871133532810125312')
('120949200', '871133532810125312')
('813315348338450432', '871133532810125312')
('204581831', '871133532810125312')
('126671855', '871133532810125312')
('2745759835', '871133532810125312')
('341805961', '871133532810125312')
('139860744', '871133532810125312')
('14794243', '871133532810125312')
('732771960548171777', '871133532810125312')
('3239642085', '871133532810125312')
('806177965000314880', '871133532810125312')
('41728708', '871133532810125312')
('3847609156', '871133532810125312')
('2261030457', '871133532810125312')
('14706055', '871133532810125312')
('470528872', '871133532810125312')
('3672418935', '871133532810125312')
('2999582918', '871133532810125312')
('130717368', '871133532810125312')
('243799287', '871133532810125312')
('572121169', '871133532810125312')
('72286639', '871133532810125312')
('620650049', '871133532810125312')
('178430777', '871133532810125312')
('78121472', '871133532810125312')
('831084376104529920', '871133532810125312')
('802109294405619714', '871133532810125312')
('184898488', '871133532810125312')
('414910234', '871133532810125312')
('806165951561482240', '871133532810125312')
('61210922', '871133532810125312')
('55207359', '871133532810125312')
('915973751996583936', '871133532810125312')
('113083375', '871133532810125312')
('912096314199908353', '871133532810125312')
('862475554431356928', '871133532810125312')
('723160558413987840', '871133532810125312')
('168778904', '871133532810125312')
('47011988', '871133532810125312')
('134572878', '871133532810125312')
('2515912359', '871133532810125312')
('3373232345', '871133532810125312')
('793918292826161153', '871133532810125312')
('2774914234', '871133532810125312')
('707772568', '871133532810125312')
('2437579938', '871133532810125312')
('172838681', '871133532810125312')
('52031618', '871133532810125312')
('758695354749612032', '871133532810125312')
('786609913548144640', '871133532810125312')
('275760101', '871133532810125312')
('796241086738026496', '871133532810125312')
('2344328377', '871133532810125312')
('322954634', '871133532810125312')
('828667808154267650', '871133532810125312')
('917449901319049216', '871133532810125312')
('2746821695', '871133532810125312')
('69153694', '871133532810125312')
('712732013703380992', '871133532810125312')
('2796703910', '871133532810125312')
('101321843', '871133532810125312')
('74199297', '871133532810125312')
('154684944', '871133532810125312')
('79527632', '871133532810125312')
('919622857855991808', '871133532810125312')
('1272404605', '871133532810125312')
('26884896', '871133532810125312')
('1523351934', '871133532810125312')
('37723058', '871133532810125312')
('762832647349559296', '871133532810125312')
('265501099', '871133532810125312')
('173817113', '871133532810125312')
('802543408237727744', '871133532810125312')
('62140453', '871133532810125312')
('847772858373873666', '871133532810125312')
('4550717541', '871133532810125312')
('1110208027', '871133532810125312')
('2250834776', '871133532810125312')
('199083848', '871133532810125312')
('1568657670', '871133532810125312')
('33558738', '871133532810125312')
('2943093201', '871133532810125312')
('793643737', '871133532810125312')
('248874532', '871133532810125312')
('103668450', '871133532810125312')
('4600479737', '871133532810125312')
('52415292', '871133532810125312')
('3180818938', '871133532810125312')
('1906340161', '871133532810125312')
('421346436', '871133532810125312')
('834032272663859200', '871133532810125312')
('607705291', '871133532810125312')
('69867328', '871133532810125312')
('3342772480', '871133532810125312')
('772514191991246852', '871133532810125312')
('775136153326551040', '871133532810125312')
('2293902868', '871133532810125312')
('65392917', '871133532810125312')
('111478396', '871133532810125312')
('138431656', '871133532810125312')
('2557402077', '871133532810125312')
('2568031879', '871133532810125312')
('913376864449781760', '871133532810125312')
('4241318003', '871133532810125312')
('882952885830594561', '871133532810125312')
('851177636', '871133532810125312')
('55291962', '871133532810125312')
('707226715840520193', '871133532810125312')
('140502540', '871133532810125312')
('583075509', '871133532810125312')
('86313923', '871133532810125312')
('4850420290', '871133532810125312')
('1289086200', '871133532810125312')
('4807302389', '871133532810125312')
('922979307928121344', '871133532810125312')
('91990957', '871133532810125312')
('776679631', '871133532810125312')
('202713165', '871133532810125312')
('804043303507361792', '871133532810125312')
('2310765824', '871133532810125312')
('1629576702', '871133532810125312')
('916402407289929728', '871133532810125312')
('781271871522242564', '871133532810125312')
('1875876152', '871133532810125312')
('60665224', '871133532810125312')
('843973369435488257', '871133532810125312')
('876213487353180160', '871133532810125312')
('935183345348202496', '871133532810125312')
('1713761478', '871133532810125312')
('3396291767', '871133532810125312')
('3398703483', '871133532810125312')
('2163881443', '871133532810125312')
('61068210', '871133532810125312')
('2670047111', '871133532810125312')
('846544207531663362', '871133532810125312')
('936681419199348738', '871133532810125312')
('306778809', '871133532810125312')
('829424101429215232', '871133532810125312')
('2407537646', '871133532810125312')
('220051110', '871133532810125312')
('511041808', '871133532810125312')
('59771262', '871133532810125312')
('745843887420350465', '871133532810125312')
('738873823', '871133532810125312')
('2249012053', '871133532810125312')
('29395691', '871133532810125312')
('787809535067033600', '871133532810125312')
('1416827660', '871133532810125312')
('898581650119983104', '871133532810125312')
('92823245', '871133532810125312')
('3149962205', '871133532810125312')
('4902404559', '871133532810125312')
('2848811770', '871133532810125312')
('71866555', '871133532810125312')
('319273489', '871133532810125312')
('380973289', '871133532810125312')
('872649049', '871133532810125312')
('951303773040926720', '871133532810125312')
('86831126', '871133532810125312')
('156089037', '871133532810125312')
('853717677105442816', '871133532810125312')
('3120663778', '871133532810125312')
('64747926', '871133532810125312')
('2262281197', '871133532810125312')
('163135278', '871133532810125312')
('569225068', '871133532810125312')
('32385166', '871133532810125312')
('918836764713934848', '871133532810125312')
('789300965497266176', '871133532810125312')
('1575949711', '871133532810125312')
('343044834', '871133532810125312')
('135256722', '871133532810125312')
('43476953', '871133532810125312')
('3248766491', '871133532810125312')
('702852995235581952', '871133532810125312')
('39819524', '871133532810125312')
('2855770035', '871133532810125312')
('730542288', '871133532810125312')
('890038901926244352', '871133532810125312')
('103645376', '871133532810125312')
('2843999351', '871133532810125312')
('3039997863', '871133532810125312')
('933089131202146307', '871133532810125312')
('173950364', '871133532810125312')
('174705785', '871133532810125312')
('2650714156', '871133532810125312')
('858741367136288768', '871133532810125312')
('294034676', '871133532810125312')
('156486859', '871133532810125312')
('61778533', '871133532810125312')
('58235730', '871133532810125312')
('3011048391', '871133532810125312')
('139126353', '871133532810125312')
('926068285828943877', '871133532810125312')
('235222431', '871133532810125312')
('32098141', '871133532810125312')
('859724608219557888', '871133532810125312')
('761550705819811840', '871133532810125312')
('892859352863965184', '871133532810125312')
('3845413095', '871133532810125312')
('343551031', '871133532810125312')
('889095921232957442', '871133532810125312')
('247106824', '871133532810125312')
('171483132', '871133532810125312')
('101606819', '871133532810125312')
('177799660', '871133532810125312')
('2478624720', '871133532810125312')
('3303082414', '871133532810125312')
('802298657714372608', '871133532810125312')
('955128706296664065', '871133532810125312')
('393719256', '871133532810125312')
('3398143007', '871133532810125312')
('4835211933', '871133532810125312')
('738897925468782592', '871133532810125312')
('736191060087582721', '871133532810125312')
('825715600697749504', '871133532810125312')
('4865839630', '871133532810125312')
('911970556752404480', '871133532810125312')
('1315182469', '871133532810125312')
('96961126', '871133532810125312')
('115473601', '871133532810125312')
('2598747878', '871133532810125312')
('2897877826', '871133532810125312')
('879294605694566400', '871133532810125312')
('819066881239719936', '871133532810125312')
('52429582', '871133532810125312')
('3341976723', '871133532810125312')
('885975846611279872', '871133532810125312')
('4117219661', '871133532810125312')
('850785651628933124', '871133532810125312')
('953979371836059650', '871133532810125312')
('2516828927', '871133532810125312')
('2845897565', '871133532810125312')
('166259166', '871133532810125312')
('379716795', '871133532810125312')
('390413360', '871133532810125312')
('569113258', '871133532810125312')
('2988445714', '871133532810125312')
('705456683313700864', '871133532810125312')
('1071582210', '871133532810125312')
('3312364997', '871133532810125312')
('109005018', '871133532810125312')
('2954041171', '871133532810125312')
('635064633', '871133532810125312')
('2881740375', '871133532810125312')
('3295923939', '871133532810125312')
('886710556186603520', '871133532810125312')
('71883005', '871133532810125312')
('942087420597735424', '871133532810125312')
('932318193686925312', '871133532810125312')
('222286229', '871133532810125312')
('73264992', '871133532810125312')
('288043194', '871133532810125312')
('1929297319', '871133532810125312')
('33192679', '871133532810125312')
('3459938182', '871133532810125312')
('169725807', '871133532810125312')
('855894425343594496', '871133532810125312')
('850399923283648513', '871133532810125312')
('3430878027', '871133532810125312')
('200652435', '871133532810125312')
('3293328730', '871133532810125312')
('144678171', '871133532810125312')
('82372330', '871133532810125312')
('3099485283', '871133532810125312')
('60445188', '871133532810125312')
('71464354', '871133532810125312')
('4788278057', '871133532810125312')
('870241431813795841', '871133532810125312')
('707687910565388289', '871133532810125312')
('55381609', '871133532810125312')
('3613138839', '871133532810125312')
('2636298093', '871133532810125312')
('363879946', '871133532810125312')
('1941890498', '871133532810125312')
('15415753', '871133532810125312')
('420786223', '871133532810125312')
('809543208413827073', '871133532810125312')
('351649930', '871133532810125312')
('2660073002', '871133532810125312')
('1926967933', '871133532810125312')
('4092846676', '871133532810125312')
('1654227680', '871133532810125312')
('394335434', '871133532810125312')
('932097641923710976', '871133532810125312')
('464985393', '871133532810125312')
('905730101035364353', '871133532810125312')
('729535158228008960', '871133532810125312')
('214236475', '871133532810125312')
('702943304', '871133532810125312')
('938076137271545857', '871133532810125312')
('2334091415', '871133532810125312')
('832372603209777152', '871133532810125312')
('4253183897', '871133532810125312')
('24787703', '871133532810125312')
('47324875', '871133532810125312')
('854295212742594560', '871133532810125312')
('718272972851646464', '871133532810125312')
('2434479096', '871133532810125312')
('16874618', '871133532810125312')
('3442737015', '871133532810125312')
('3435052498', '871133532810125312')
('511137783', '871133532810125312')
('1621477202', '871133532810125312')
('382261316', '871133532810125312')
('87348345', '871133532810125312')
('182672374', '871133532810125312')
('802149917317861377', '871133532810125312')
('174367812', '871133532810125312')
('953703759829401601', '871133532810125312')
('3883115062', '871133532810125312')
('859828383143874560', '871133532810125312')
('113616718', '871133532810125312')
('936506119643639808', '871133532810125312')
('55411389', '871133532810125312')
('336488267', '871133532810125312')
('196140351', '871133532810125312')
('84140470', '871133532810125312')
('866061218150305792', '871133532810125312')
('843204519932715009', '871133532810125312')
('892933753831665665', '871133532810125312')
('391714169', '871133532810125312')
('874822208740306945', '871133532810125312')
('23982468', '871133532810125312')
('1646061902', '871133532810125312')
('714503076292460544', '871133532810125312')
('563729162', '871133532810125312')
('2317184530', '871133532810125312')
('82435214', '871133532810125312')
('3908858116', '871133532810125312')
('59215939', '871133532810125312')
('115687738', '871133532810125312')
('175438711', '871133532810125312')
('1681957052', '871133532810125312')
('93268389', '871133532810125312')
('66146040', '871133532810125312')
('713013129907736576', '871133532810125312')
('749052050990923776', '871133532810125312')
('822514722583052289', '871133532810125312')
('3347967190', '871133532810125312')
('51588583', '871133532810125312')
('946424795939340290', '871133532810125312')
('2226478936', '871133532810125312')
('211295496', '871133532810125312')
('926262645250035712', '871133532810125312')
('955194569276174338', '871133532810125312')
('164007194', '871133532810125312')
('563094648', '871133532810125312')
('1283287765', '871133532810125312')
('357647867', '871133532810125312')
('720039424076161024', '871133532810125312')
('845575454446817280', '871133532810125312')
('2843003962', '871133532810125312')
('831947702342713354', '871133532810125312')
('2702507592', '871133532810125312')
('128260941', '871133532810125312')
('747314828', '871133532810125312')
('291206532', '871133532810125312')
('1087218997', '871133532810125312')
('723355513396690944', '871133532810125312')
('894695076282191873', '871133532810125312')
('1304752723', '871133532810125312')
('833064649075650562', '871133532810125312')
('151265609', '871133532810125312')
('60793518', '871133532810125312')
('3060499649', '871133532810125312')
('3397512207', '871133532810125312')
('747848018', '871133532810125312')
('198533699', '871133532810125312')
('583259721', '871133532810125312')
('3403709741', '871133532810125312')
('3167827457', '871133532810125312')
('232840835', '871133532810125312')
('807707971186724864', '871133532810125312')
('889871123013406720', '871133532810125312')
('207972128', '871133532810125312')
('3082223424', '871133532810125312')
('51496277', '871133532810125312')
('211991111', '871133532810125312')
('2778817262', '871133532810125312')
('741340215378386944', '871133532810125312')
('399565098', '871133532810125312')
('1397688913', '871133532810125312')
('1650508651', '871133532810125312')
('2347809591', '871133532810125312')
('720318731772145669', '871133532810125312')
('727148654570643456', '871133532810125312')
('114493275', '871133532810125312')
('37339267', '871133532810125312')
('712373441417121796', '871133532810125312')
('383264367', '871133532810125312')
('742788152', '871133532810125312')
('64472799', '871133532810125312')
('203361939', '871133532810125312')
('567287640', '871133532810125312')
('907341102260346880', '871133532810125312')
('508833902', '871133532810125312')
('2977137790', '871133532810125312')
('3257576116', '871133532810125312')
('811022867899043840', '871133532810125312')
('14500784', '871133532810125312')
('153227900', '871133532810125312')
('2528246047', '871133532810125312')
('48878909', '871133532810125312')
('878984828691107841', '871133532810125312')
('3244832188', '871133532810125312')
('2707744554', '871133532810125312')
('3142451847', '871133532810125312')
('774029113065664513', '871133532810125312')
('3091524917', '871133532810125312')
('768612467517845504', '871133532810125312')
('2871345816', '871133532810125312')
('705859844176285696', '871133532810125312')
('3053895858', '871133532810125312')
('1601836363', '871133532810125312')
('289943685', '871133532810125312')
('378171700', '871133532810125312')
('730215049353150464', '871133532810125312')
('4871963313', '871133532810125312')
('888782486221750272', '871133532810125312')
('370121222', '871133532810125312')
('45389569', '871133532810125312')
('800825323843686400', '871133532810125312')
('724593239710416896', '871133532810125312')
('59585496', '871133532810125312')
('90617235', '871133532810125312')
('52490830', '871133532810125312')
('838549591779868673', '871133532810125312')
('929873960627515393', '871133532810125312')
('2862721732', '871133532810125312')
('2963396793', '871133532810125312')
('26663913', '871133532810125312')
('1328038700', '871133532810125312')
('746093606805577728', '871133532810125312')
('2809428106', '871133532810125312')
('2598286430', '871133532810125312')
('374782485', '871133532810125312')
('4714884982', '871133532810125312')
('923735035647266819', '871133532810125312')
('892931993624862721', '871133532810125312')
('926128934953144321', '871133532810125312')
('299981580', '871133532810125312')
('1354327520', '871133532810125312')
('709563415', '871133532810125312')
('625161654', '871133532810125312')
('104975481', '871133532810125312')
('574402381', '871133532810125312')
('281821820', '871133532810125312')
('65354010', '871133532810125312')
('809733283860856832', '871133532810125312')
('739448593', '871133532810125312')
('378978130', '871133532810125312')
('849703039460147202', '871133532810125312')
('182461601', '871133532810125312')
('228504327', '871133532810125312')
('913805107606716418', '871133532810125312')
('3342303514', '871133532810125312')
('268845786', '871133532810125312')
('74740958', '871133532810125312')
('465634795', '871133532810125312')
('3432078017', '871133532810125312')
('711454465681924096', '871133532810125312')
('540189557', '871133532810125312')
('210956524', '871133532810125312')
('98260057', '871133532810125312')
('2826359149', '871133532810125312')
('3152635695', '871133532810125312')
('60832848', '871133532810125312')
('461423495', '871133532810125312')
('4145610435', '871133532810125312')
('917751362280218624', '871133532810125312')
('2742104771', '871133532810125312')
('3034386485', '871133532810125312')
('926488179124981766', '871133532810125312')
('329931289', '871133532810125312')
('2786513141', '871133532810125312')
('839476117408985088', '871133532810125312')
('607688992', '871133532810125312')
('1465692656', '871133532810125312')
('1370295182', '871133532810125312')
('2999530600', '871133532810125312')
('143775432', '871133532810125312')
('2825054724', '871133532810125312')
('1377408002', '871133532810125312')
('790931734829404160', '871133532810125312')
('2538201597', '871133532810125312')
('49819172', '871133532810125312')
('61066380', '871133532810125312')
('892749032887595008', '871133532810125312')
('4587490647', '871133532810125312')
('163319998', '871133532810125312')
('972462380', '871133532810125312')
('131211142', '871133532810125312')
('52548800', '871133532810125312')
('550031950', '871133532810125312')
('198359444', '871133532810125312')
('2253475578', '871133532810125312')
('2803890363', '871133532810125312')
('1643750532', '871133532810125312')
('2992649441', '871133532810125312')
('58081907', '871133532810125312')
('719459741496426500', '871133532810125312')
('2910225827', '871133532810125312')
('250569489', '871133532810125312')
('941424138048233472', '871133532810125312')
('2174402707', '871133532810125312')
('847965980903051265', '871133532810125312')
('913888276196491264', '871133532810125312')
('124557805', '871133532810125312')
('69442465', '871133532810125312')
('3234366029', '871133532810125312')
('52387489', '871133532810125312')
('1215777751', '871133532810125312')
('128311146', '871133532810125312')
('772114058', '871133532810125312')
('316120545', '871133532810125312')
('16152698', '871133532810125312')
('97602940', '871133532810125312')
('951835120134172672', '871133532810125312')
('550325168', '871133532810125312')
('947289567769579523', '871133532810125312')
('36879200', '871133532810125312')
('71084673', '871133532810125312')
('210983198', '871133532810125312')
('44258331', '871133532810125312')
('3127687596', '871133532810125312')
('936943645', '871133532810125312')
('829708319430426624', '871133532810125312')
('822922440930115584', '871133532810125312')
('3001659755', '871133532810125312')
('629490778', '871133532810125312')
('865648073283846144', '871133532810125312')
('878830381474226176', '871133532810125312')
('96453209', '871133532810125312')
('2937257147', '871133532810125312')
('58113236', '871133532810125312')
('869360878256349184', '871133532810125312')
('892138296725438464', '871133532810125312')
('3290584239', '871133532810125312')
('857020385363202049', '871133532810125312')
('783353013570273280', '871133532810125312')
('587950764', '871133532810125312')
('4641836656', '871133532810125312')
('132603510', '871133532810125312')
('2767165805', '871133532810125312')
('2961185536', '871133532810125312')
('2832922721', '871133532810125312')
('51761051', '871133532810125312')
('2957410013', '871133532810125312')
('57425387', '871133532810125312')
('59088529', '871133532810125312')
('792055258637885441', '871133532810125312')
('89496404', '871133532810125312')
('820407126157914113', '871133532810125312')
('178552039', '871133532810125312')
('912898270069972992', '871133532810125312')
('1541661823', '871133532810125312')
('330018618', '871133532810125312')
('179393698', '871133532810125312')
('77362508', '871133532810125312')
('26294702', '871133532810125312')
('278031220', '871133532810125312')
('4561644673', '871133532810125312')
('1671671857', '871133532810125312')
('534696452', '871133532810125312')
('267387398', '871133532810125312')
('764287359072477184', '871133532810125312')
('98980371', '871133532810125312')
('368067319', '871133532810125312')
('153068983', '871133532810125312')
('727569385888591872', '871133532810125312')
('3286338832', '871133532810125312')
('911653387351060481', '871133532810125312')
('3314045596', '871133532810125312')
('54209603', '871133532810125312')
('142779158', '871133532810125312')
('3902836323', '871133532810125312')
('904828108980801536', '871133532810125312')
('4596644536', '871133532810125312')
('1951857194', '871133532810125312')
('4886787783', '871133532810125312')
('927613194297856000', '871133532810125312')
('4693575194', '871133532810125312')
('3042011854', '871133532810125312')
('24738047', '871133532810125312')
('42114272', '871133532810125312')
('3299440983', '871133532810125312')
('2301530520', '871133532810125312')
('763170843102851072', '871133532810125312')
('104361436', '871133532810125312')
('386836544', '871133532810125312')
('16874038', '871133532810125312')
('3416929259', '871133532810125312')
('775081927057473536', '871133532810125312')
('2460610110', '871133532810125312')
('3188166737', '871133532810125312')
('2546772102', '871133532810125312')
('476054419', '871133532810125312')
('904070382', '871133532810125312')
('866798040761475073', '871133532810125312')
('142161576', '871133532810125312')
('298238522', '871133532810125312')
('210177223', '871133532810125312')
('726955580024348672', '871133532810125312')
('104131815', '871133532810125312')
('595054327', '871133532810125312')
('793483201', '871133532810125312')
('897889440361832448', '871133532810125312')
('947722341701816320', '871133532810125312')
('77588718', '871133532810125312')
('916419468884135936', '871133532810125312')
('1852099657', '871133532810125312')
('1452970200', '871133532810125312')
('2662775126', '871133532810125312')
('1957511221', '871133532810125312')
('76935208', '871133532810125312')
('122110444', '871133532810125312')
('180125513', '871133532810125312')
('80128141', '871133532810125312')
('114094027', '871133532810125312')
('35324646', '871133532810125312')
('932663439234863104', '871133532810125312')
('871897372065968130', '871133532810125312')
('346204440', '871133532810125312')
('925807068631662593', '871133532810125312')
('261640756', '871133532810125312')
('944327829822562304', '871133532810125312')
('490005026', '871133532810125312')
('851275179145576448', '871133532810125312')
('823119105599434753', '871133532810125312')
('779308704785174529', '871133532810125312')
('911513143372861440', '871133532810125312')
('825687928999383040', '871133532810125312')
('578363658', '871133532810125312')
('759729940652658688', '871133532810125312')
('2284378856', '871133532810125312')
('804043131851337728', '871133532810125312')
('162370604', '871133532810125312')
('307041413', '871133532810125312')
('2361291650', '871133532810125312')
('806309068625313793', '871133532810125312')
('427702859', '871133532810125312')
('74780902', '871133532810125312')
('1226258876', '871133532810125312')
('238195540', '871133532810125312')
('231262938', '871133532810125312')
('4166719823', '871133532810125312')
('34136733', '871133532810125312')
('248274855', '871133532810125312')
('776085506702598144', '871133532810125312')
('2736280625', '871133532810125312')
('138801867', '871133532810125312')
('2899285510', '871133532810125312')
('808097990682484736', '871133532810125312')
('465161591', '871133532810125312')
('493936318', '871133532810125312')
('142775595', '871133532810125312')
('73540679', '871133532810125312')
('170694477', '871133532810125312')
('3402842483', '871133532810125312')
('1325149987', '871133532810125312')
('1334664870', '871133532810125312')
('325847663', '871133532810125312')
('849732210831884288', '871133532810125312')
('857459535266684928', '871133532810125312')
('932645065159258112', '871133532810125312')
('810945426128044032', '871133532810125312')
('736385015223816192', '871133532810125312')
('84925552', '871133532810125312')
('901944496631504897', '871133532810125312')
('92119857', '871133532810125312')
('62067729', '871133532810125312')
('2904230037', '871133532810125312')
('745413126640836608', '871133532810125312')
('887380957191426049', '871133532810125312')
('927560649839964161', '871133532810125312')
('2849968732', '871133532810125312')
('67506250', '871133532810125312')
('2183723955', '871133532810125312')
('848907233555611648', '871133532810125312')
('21363569', '871133532810125312')
('61641968', '871133532810125312')
('4184140942', '871133532810125312')
('809522787073359876', '871133532810125312')
('1671038876', '871133532810125312')
('2865225633', '871133532810125312')
('2148759083', '871133532810125312')
('148150641', '871133532810125312')
('2277942524', '871133532810125312')
('826863124200431616', '871133532810125312')
('1310912587', '871133532810125312')
('3353390615', '871133532810125312')
('104195397', '871133532810125312')
('3353088412', '871133532810125312')
('866704621863088129', '871133532810125312')
('69995452', '871133532810125312')
('2959419107', '871133532810125312')
('596851187', '871133532810125312')
('3335216183', '871133532810125312')
('50708900', '871133532810125312')
('136360864', '871133532810125312')
('2960818636', '871133532810125312')
('362831219', '871133532810125312')
('2975332215', '871133532810125312')
('790216776877481985', '871133532810125312')
('2327858726', '871133532810125312')
('2950945413', '871133532810125312')
('350177130', '871133532810125312')
('772598377775263744', '871133532810125312')
('1212099013', '871133532810125312')
('3364727003', '871133532810125312')
('47323932', '871133532810125312')
('1463120023', '871133532810125312')
('2567295645', '871133532810125312')
('2605703430', '871133532810125312')
('15357211', '871133532810125312')
('855451568', '871133532810125312')
('2911277351', '871133532810125312')
('814251237579354112', '871133532810125312')
('2842247849', '871133532810125312')
('349784624', '871133532810125312')
('42927082', '871133532810125312')
('2729992692', '871133532810125312')
('92024087', '871133532810125312')
('124890261', '871133532810125312')
('797010613', '871133532810125312')
('2861005863', '871133532810125312')
('71711349', '871133532810125312')
('344456602', '871133532810125312')
('2212587631', '871133532810125312')
('878798495838294017', '871133532810125312')
('909234615096938496', '871133532810125312')
('1104634872', '871133532810125312')
('26307561', '871133532810125312')
('2460276247', '871133532810125312')
('414813596', '871133532810125312')
('75376996', '871133532810125312')
('766608889466986496', '871133532810125312')
('153211814', '871133532810125312')
('146059180', '871133532810125312')
('751151052347564032', '871133532810125312')
('187360620', '871133532810125312')
('843601022065004544', '871133532810125312')
('187561446', '871133532810125312')
('52980758', '871133532810125312')
('232701612', '871133532810125312')
('219831968', '871133532810125312')
('290770159', '871133532810125312')
('299769897', '871133532810125312')
('1198150542', '871133532810125312')
('295945033', '871133532810125312')
('1626806365', '871133532810125312')
('4867100343', '871133532810125312')
('907938301713240064', '871133532810125312')
('2768275473', '871133532810125312')
('375129341', '871133532810125312')
('41115750', '871133532810125312')
('705917115262492672', '871133532810125312')
('33563681', '871133532810125312')
('4013701305', '871133532810125312')
('2915636074', '871133532810125312')
('419078814', '871133532810125312')
('3413604839', '871133532810125312')
('39418071', '871133532810125312')
('4330289121', '871133532810125312')
('2699224042', '871133532810125312')
('235427010', '871133532810125312')
('2750788314', '871133532810125312')
('893816916791484416', '871133532810125312')
('2565965203', '871133532810125312')
('2925514058', '871133532810125312')
('80874491', '871133532810125312')
('127738165', '871133532810125312')
('831289543672360960', '871133532810125312')
('2322956732', '871133532810125312')
('161869866', '871133532810125312')
('68861002', '871133532810125312')
('796988627033137152', '871133532810125312')
('33571937', '871133532810125312')
('133413241', '871133532810125312')
('787972119493746688', '871133532810125312')
('871547998836330496', '871133532810125312')
('924770847511973888', '871133532810125312')
