Id,Label,timeset,indegree,outdegree,Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,pageranks
2585692510,2585692510,,0,1,1,17,1,1,1,0,0,0.00003
945963021242978304,945963021242978304,,0,2,2,127,1,1,1,0,0,0.00003
3215207195,3215207195,,0,1,1,17,1,1,1,0,0,0.00003
2992428713,2992428713,,0,5,5,28,2,0.777778,0.857143,0,0,0.00003
151560744,151560744,,0,1,1,17,1,1,1,0,0,0.00003
215996438,215996438,,0,2,2,17,1,1,1,0,0,0.00003
240566770,240566770,,0,4,4,116,5,0.318966,0.386036,0,0,0.00003
342735056,342735056,,0,3,3,17,1,1,1,0,0,0.00003
857764586883346432,857764586883346432,,0,1,1,17,1,1,1,0,0,0.00003
134304111,134304111,,0,1,1,17,1,1,1,0,0,0.00003
170144166,170144166,,0,1,1,17,1,1,1,0,0,0.00003
160081093,160081093,,0,1,1,17,1,1,1,0,0,0.00003
545531261,545531261,,0,3,3,17,1,1,1,0,0,0.00003
1488808646,1488808646,,0,2,2,17,1,1,1,0,0,0.00003
812910468352315393,812910468352315393,,0,2,2,17,1,1,1,0,0,0.00003
1486724556,1486724556,,0,2,2,17,3,0.571429,0.708333,0,0,0.00003
171110904,171110904,,0,2,2,17,1,1,1,0,0,0.00003
370256146,370256146,,3,9,12,74,4,0.592593,0.744792,0.000001,0.000832,0.000079
2536251273,2536251273,,0,1,1,17,1,1,1,0,0,0.00003
4698565218,4698565218,,0,4,4,28,3,0.484848,0.572917,0,0,0.00003
942188943369490438,942188943369490438,,0,1,1,17,1,1,1,0,0,0.00003
717722865995542528,717722865995542528,,0,2,2,17,4,0.454545,0.616667,0,0,0.00003
820062235,820062235,,0,1,1,17,1,1,1,0,0,0.00003
1498592516,1498592516,,0,2,2,17,3,0.571429,0.708333,0,0,0.00003
2554914156,2554914156,,0,3,3,17,3,0.625,0.766667,0,0,0.00003
