Id,Label,timeset,indegree,outdegree,degree
711415919529074688,,,0,1,1
788794760764985344,,,3424,1,3425
779175705502486528,,,0,1,1
483760755,,,0,1,1
1271133379,,,0,3,3
3017894621,,,261,4,265
4075120635,,,0,1,1
439228975,,,0,1,1
3331827279,,,0,2,2
4832838431,,,0,2,2
134154752,,,0,2,2
2303434964,,,0,3,3
2176906651,,,0,1,1
354484844,,,0,5,5
570215525,,,0,1,1
1676307187,,,552,2,554
768308646400983040,,,0,2,2
4390021702,,,0,2,2
2692148633,,,0,1,1
3313677131,,,0,1,1
2233373838,,,0,1,1
3436057637,,,0,4,4
2300861506,,,0,2,2
4808367149,,,0,4,4
3043466909,,,0,2,2
786344792611487744,,,0,1,1
4241915717,,,0,1,1
858115599137984517,,,0,1,1
909194247806517248,,,0,1,1
414296493,,,0,1,1
878099869088583680,,,0,1,1
2180259716,,,0,4,4
205353871,,,0,1,1
830865499999318017,,,0,8,8
848725767831912449,,,0,1,1
626832092,,,0,1,1
68891875,,,8,2,10
3383358437,,,0,4,4
4836482591,,,0,1,1
796126488194072576,,,0,5,5
837384439000870913,,,0,3,3
328826492,,,0,2,2
2188979021,,,0,2,2
2858973110,,,0,8,8
4108998621,,,0,2,2
899983146,,,0,1,1
845938107988033536,,,0,1,1
4746558130,,,0,1,1
33264597,,,0,1,1
2724655497,,,0,3,3
756292133166977028,,,0,2,2
422342829,,,0,2,2
2290333063,,,0,1,1
404842457,,,0,2,2
2873180638,,,0,1,1
2535888716,,,0,3,3
372420000,,,0,2,2
134930141,,,0,2,2
829848108783792130,,,0,2,2
788162172442542084,,,0,1,1
2257897848,,,0,2,2
2965155598,,,0,1,1
733423689241235456,,,0,2,2
3293196322,,,0,1,1
733499674141851648,,,0,3,3
766021391032455168,,,0,4,4
752913655696687107,,,0,1,1
366763625,,,0,2,2
4343523257,,,0,1,1
1115454024,,,0,1,1
214940576,,,0,4,4
3035584828,,,5,5,10
4471832363,,,0,1,1
195555745,,,0,3,3
3291824398,,,0,1,1
705804318960697345,,,0,2,2
223139140,,,0,3,3
115123406,,,0,1,1
91409657,,,0,3,3
751922209669742592,,,0,5,5
848919748708626432,,,0,1,1
302224017,,,0,1,1
146024656,,,0,2,2
1296642955,,,0,1,1
719935016487227393,,,0,1,1
1008830438,,,0,2,2
1229913848,,,0,2,2
2187876094,,,0,2,2
35100795,,,0,2,2
2332084555,,,0,2,2
715942838056448000,,,0,1,1
726444867887439873,,,0,1,1
84925552,,,0,8,8
2627790770,,,0,1,1
175222015,,,0,19,19
2174819695,,,0,1,1
105613439,,,0,5,5
717422787317657600,,,0,1,1
758716194627153920,,,0,3,3
930113978197561344,,,0,2,2
3128086726,,,0,2,2
55971182,,,0,8,8
351185660,,,0,1,1
755215103407030272,,,0,2,2
3819187851,,,0,12,12
3353163761,,,0,1,1
934159929367302151,,,0,5,5
2312782842,,,0,1,1
4189138097,,,0,6,6
120846865,,,0,1,1
2965111534,,,0,1,1
573169656,,,0,3,3
727303352988536832,,,0,3,3
3349061019,,,0,1,1
319354424,,,0,2,2
802620614066446337,,,0,2,2
552205785,,,0,1,1
2872930097,,,0,2,2
2994779237,,,0,8,8
2904664954,,,0,3,3
876853521857081345,,,0,2,2
2878933623,,,0,4,4
4001320221,,,0,1,1
386226974,,,0,1,1
794173210841509889,,,0,2,2
4693615513,,,0,2,2
2269923359,,,0,1,1
108746070,,,0,1,1
136426201,,,0,2,2
912017979855994881,,,0,1,1
792508543,,,0,3,3
41842314,,,0,5,5
2640886282,,,0,3,3
1175430350,,,0,2,2
4290997456,,,0,2,2
2407715149,,,0,1,1
906383750,,,0,5,5
926887258422173696,,,0,11,11
758331667237003269,,,0,2,2
27733043,,,0,8,8
42208212,,,0,1,1
2800304302,,,0,1,1
2239901693,,,0,3,3
616284687,,,0,1,1
2445994788,,,0,1,1
4826154489,,,0,1,1
713476235821785089,,,0,1,1
1658461020,,,0,1,1
907028776718094336,,,0,1,1
2505604699,,,0,2,2
1114754246,,,0,7,7
1634213929,,,0,2,2
750743130333409281,,,0,2,2
2327068811,,,0,7,7
230921787,,,0,7,7
1499388308,,,0,1,1
2240913246,,,0,2,2
152025059,,,0,2,2
106458441,,,0,2,2
2945001555,,,0,1,1
2510631627,,,0,2,2
776422612599701504,,,0,9,9
3523003701,,,0,1,1
42988609,,,0,1,1
414154783,,,0,2,2
886462594340573184,,,0,1,1
2288450699,,,0,2,2
843574264116760576,,,0,3,3
430765726,,,0,3,3
2474547637,,,0,1,1
2942274337,,,0,1,1
617217231,,,0,4,4
935589408,,,0,1,1
351940285,,,0,5,5
354668822,,,1,2,3
809237299481497601,,,0,4,4
838812159299682309,,,0,1,1
899233715133526016,,,0,2,2
3078475040,,,0,1,1
517780429,,,0,2,2
3328518911,,,0,3,3
60770351,,,0,1,1
472878908,,,0,2,2
3029007879,,,0,2,2
3093621069,,,0,1,1
91717029,,,0,1,1
872153929647304704,,,0,2,2
436203700,,,0,1,1
2951805909,,,0,1,1
591205803,,,0,3,3
755157630973317121,,,0,1,1
765011992822317056,,,0,4,4
1681465585,,,0,1,1
902302621372907521,,,0,7,7
4277474207,,,0,13,13
1460299062,,,0,3,3
835636090119864320,,,0,1,1
793268036820144130,,,0,2,2
2720988999,,,0,2,2
132630226,,,0,8,8
517870959,,,0,1,1
3912828975,,,0,1,1
