Source,Target,Type,Id,Label
775120460312940544,724991849912500224,Directed,8,
1252990922,724991849912500224,Directed,125,
4443617919,724991849912500224,Directed,133,
884133562852798465,724991849912500224,Directed,163,
845369220720463872,724991849912500224,Directed,165,
4172487136,724991849912500224,Directed,185,
2779926419,724991849912500224,Directed,191,
481586123,724991849912500224,Directed,202,
4455136516,724991849912500224,Directed,205,
414238687,724991849912500224,Directed,212,
2471680740,724991849912500224,Directed,215,
3264791584,724991849912500224,Directed,226,
153184399,724991849912500224,Directed,235,
1390716944,724991849912500224,Directed,236,
952356431952572416,724991849912500224,Directed,263,
4616247501,724991849912500224,Directed,266,
127941159,724991849912500224,Directed,280,
902558138192330753,724991849912500224,Directed,298,
4197473325,724991849912500224,Directed,304,
1253205390,724991849912500224,Directed,332,
926659933,724991849912500224,Directed,343,
254316467,724991849912500224,Directed,354,
2207385163,724991849912500224,Directed,383,
2802397790,724991849912500224,Directed,394,
3627323595,724991849912500224,Directed,402,
911195259283140608,724991849912500224,Directed,406,
853485301209210880,724991849912500224,Directed,419,
844033251413020672,724991849912500224,Directed,433,
4899171773,724991849912500224,Directed,441,
734914459,724991849912500224,Directed,451,
412603416,724991849912500224,Directed,456,
797152974,724991849912500224,Directed,474,
187047762,724991849912500224,Directed,485,
362095640,724991849912500224,Directed,500,
1347622838,724991849912500224,Directed,501,
17129020,724991849912500224,Directed,509,
817180269706969090,724991849912500224,Directed,511,
717128928,724991849912500224,Directed,519,
910601047042854912,724991849912500224,Directed,520,
595840675,724991849912500224,Directed,535,
205204049,724991849912500224,Directed,537,
167628720,724991849912500224,Directed,539,
3317940664,724991849912500224,Directed,548,
813804262614564868,724991849912500224,Directed,592,
922971711057940481,724991849912500224,Directed,601,
4069763853,724991849912500224,Directed,620,
1418348443,724991849912500224,Directed,626,
2980611887,724991849912500224,Directed,631,
4190344523,724991849912500224,Directed,647,
2734866437,724991849912500224,Directed,651,
3106718386,724991849912500224,Directed,662,
371546732,724991849912500224,Directed,663,
159468538,724991849912500224,Directed,669,
317585483,724991849912500224,Directed,672,
309177991,724991849912500224,Directed,709,
1598951042,724991849912500224,Directed,726,
811608886063091712,724991849912500224,Directed,729,
1146027914,724991849912500224,Directed,749,
856002591137947649,724991849912500224,Directed,774,
792330804,724991849912500224,Directed,775,
764602006203928576,724991849912500224,Directed,776,
514727371,724991849912500224,Directed,785,
886759795981791232,724991849912500224,Directed,788,
869343505948303360,724991849912500224,Directed,835,
3075453035,724991849912500224,Directed,842,
824995900284076033,724991849912500224,Directed,856,
262872312,724991849912500224,Directed,866,
1421177671,724991849912500224,Directed,867,
2716204655,724991849912500224,Directed,876,
874941528543821825,724991849912500224,Directed,877,
1612486452,724991849912500224,Directed,887,
926059149020073985,724991849912500224,Directed,890,
123969911,724991849912500224,Directed,904,
4438133241,724991849912500224,Directed,912,
838191576153264128,724991849912500224,Directed,914,
4389207675,724991849912500224,Directed,920,
302090543,724991849912500224,Directed,921,
188026970,724991849912500224,Directed,927,
364304602,724991849912500224,Directed,949,
489735346,724991849912500224,Directed,951,
205721520,724991849912500224,Directed,959,
1087791181,724991849912500224,Directed,962,
754472967363502081,724991849912500224,Directed,967,
3296568033,724991849912500224,Directed,996,
939551101774454784,724991849912500224,Directed,1005,
498693216,724991849912500224,Directed,1007,
125337474,724991849912500224,Directed,1020,
866840221,724991849912500224,Directed,1021,
352668461,724991849912500224,Directed,1023,
1257838134,724991849912500224,Directed,1029,
609771750,724991849912500224,Directed,1037,
601368401,724991849912500224,Directed,1053,
2728640021,724991849912500224,Directed,1059,
732283984382693381,724991849912500224,Directed,1060,
188606110,724991849912500224,Directed,1069,
4197469961,724991849912500224,Directed,1074,
833202018412027904,724991849912500224,Directed,1086,
755035461538709504,724991849912500224,Directed,1105,
2513461156,724991849912500224,Directed,1117,
4628041221,724991849912500224,Directed,1128,
147390617,724991849912500224,Directed,1131,
85933279,724991849912500224,Directed,1137,
732717476073639937,724991849912500224,Directed,1139,
708061247061753856,724991849912500224,Directed,1143,
50353005,724991849912500224,Directed,1146,
870397502452895748,724991849912500224,Directed,1152,
757278330236309504,724991849912500224,Directed,1153,
4639015092,724991849912500224,Directed,1156,
891457257682219008,724991849912500224,Directed,1157,
726944587969912832,724991849912500224,Directed,1158,
866809684098940929,724991849912500224,Directed,1162,
192097134,724991849912500224,Directed,1164,
313414835,724991849912500224,Directed,1167,
138519555,724991849912500224,Directed,1169,
821171096582062080,724991849912500224,Directed,1170,
149577603,724991849912500224,Directed,1173,
939594755599732736,724991849912500224,Directed,1175,
2884879569,724991849912500224,Directed,1195,
472687573,724991849912500224,Directed,1214,
149238850,724991849912500224,Directed,1221,
4433293101,724991849912500224,Directed,1228,
3405190318,724991849912500224,Directed,1244,
3135595924,724991849912500224,Directed,1247,
3462238936,724991849912500224,Directed,1250,
3893850623,724991849912500224,Directed,1260,
715713128923795458,724991849912500224,Directed,1267,
2583775011,724991849912500224,Directed,1271,
568559126,724991849912500224,Directed,1280,
400345339,724991849912500224,Directed,1301,
2984275319,724991849912500224,Directed,1305,
353635491,724991849912500224,Directed,1307,
109353330,724991849912500224,Directed,1310,
4151080641,724991849912500224,Directed,1322,
2652853400,724991849912500224,Directed,1336,
1665518737,724991849912500224,Directed,1344,
204058629,724991849912500224,Directed,1347,
4830229167,724991849912500224,Directed,1351,
178879936,724991849912500224,Directed,1360,
1614343844,724991849912500224,Directed,1364,
4486055565,724991849912500224,Directed,1366,
852763767494516736,724991849912500224,Directed,1372,
808092704701906945,724991849912500224,Directed,1392,
263925147,724991849912500224,Directed,1416,
849333320798412800,724991849912500224,Directed,1418,
3173932642,724991849912500224,Directed,1426,
2242723305,724991849912500224,Directed,1430,
724762789743566848,724991849912500224,Directed,1435,
491341356,724991849912500224,Directed,1454,
568862796,724991849912500224,Directed,1456,
1494318799,724991849912500224,Directed,1457,
880548677814808576,724991849912500224,Directed,1500,
312071487,724991849912500224,Directed,1506,
765287281,724991849912500224,Directed,1529,
1141416996,724991849912500224,Directed,1554,
955123286429655041,724991849912500224,Directed,1557,
812675495091470346,724991849912500224,Directed,1564,
938180643065946112,724991849912500224,Directed,1567,
945494096285716480,724991849912500224,Directed,1568,
942724724576194560,724991849912500224,Directed,1569,
579268542,724991849912500224,Directed,1591,
4779383416,724991849912500224,Directed,1594,
213629126,724991849912500224,Directed,1601,
4636584016,724991849912500224,Directed,1631,
749776683939627008,724991849912500224,Directed,1639,
916418638831345669,724991849912500224,Directed,1640,
818589145,724991849912500224,Directed,1646,
721375026503684096,724991849912500224,Directed,1649,
311171526,724991849912500224,Directed,1662,
280579209,724991849912500224,Directed,1675,
4827388379,724991849912500224,Directed,1726,
938818260711206913,724991849912500224,Directed,1757,
275314877,724991849912500224,Directed,1774,
751845517232144384,724991849912500224,Directed,1776,
989979932,724991849912500224,Directed,1780,
1243487965,724991849912500224,Directed,1783,
930707554593837056,724991849912500224,Directed,1790,
268382888,724991849912500224,Directed,1803,
209919889,724991849912500224,Directed,1813,
4196898628,724991849912500224,Directed,1823,
725812041097875456,724991849912500224,Directed,1829,
870199540959371264,724991849912500224,Directed,1833,
78038152,724991849912500224,Directed,1842,
845838285155041283,724991849912500224,Directed,1851,
210286298,724991849912500224,Directed,1882,
824677213895266305,724991849912500224,Directed,1885,
1467043896,724991849912500224,Directed,1888,
4342283537,724991849912500224,Directed,1900,
3399281115,724991849912500224,Directed,1921,
258372046,724991849912500224,Directed,1930,
139204153,724991849912500224,Directed,1942,
3264452290,724991849912500224,Directed,1955,
2430281547,724991849912500224,Directed,1958,
290238431,724991849912500224,Directed,1959,
1353140635,724991849912500224,Directed,1963,
4198060960,724991849912500224,Directed,1983,
569314050,724991849912500224,Directed,1988,
2482931576,724991849912500224,Directed,1992,
208553735,724991849912500224,Directed,2005,
4766035248,724991849912500224,Directed,2008,
311039191,724991849912500224,Directed,2020,
360240301,724991849912500224,Directed,2025,
417026180,724991849912500224,Directed,2035,
2805934223,724991849912500224,Directed,2036,
53407721,724991849912500224,Directed,2048,
4774247901,724991849912500224,Directed,2060,
1498975142,724991849912500224,Directed,2070,
611329737,724991849912500224,Directed,2076,
578146748,724991849912500224,Directed,2082,
73031233,724991849912500224,Directed,2100,
4178747848,724991849912500224,Directed,2120,
802557447852396544,724991849912500224,Directed,2141,
1387779810,724991849912500224,Directed,2142,
3054288544,724991849912500224,Directed,2143,
417228679,724991849912500224,Directed,2147,
218158484,724991849912500224,Directed,2151,
3579939695,724991849912500224,Directed,2157,
1621346238,724991849912500224,Directed,2158,
825480037973504001,724991849912500224,Directed,2170,
199038582,724991849912500224,Directed,2210,
710532875930750976,724991849912500224,Directed,2222,
792203275,724991849912500224,Directed,2249,
841373176919646214,724991849912500224,Directed,2255,
914634354852327425,724991849912500224,Directed,2279,
347033319,724991849912500224,Directed,2284,
97918224,724991849912500224,Directed,2287,
158105787,724991849912500224,Directed,2299,
2624356467,724991849912500224,Directed,2304,
336859114,724991849912500224,Directed,2313,
1693650776,724991849912500224,Directed,2318,
4589176468,724991849912500224,Directed,2329,
887049016453857282,724991849912500224,Directed,2333,
591306165,724991849912500224,Directed,2343,
2727432991,724991849912500224,Directed,2363,
3352846438,724991849912500224,Directed,2369,
4153515377,724991849912500224,Directed,2370,
457023568,724991849912500224,Directed,2384,
308756576,724991849912500224,Directed,2387,
937062521462296577,724991849912500224,Directed,2394,
3252181216,724991849912500224,Directed,2412,
925516383651356673,724991849912500224,Directed,2418,
3099190497,724991849912500224,Directed,2431,
134499526,724991849912500224,Directed,2436,
839244108040372226,724991849912500224,Directed,2493,
3402023547,724991849912500224,Directed,2508,
1553916055,724991849912500224,Directed,2510,
347505995,724991849912500224,Directed,2518,
3385687450,724991849912500224,Directed,2548,
