Id,Label,timeset,indegree,outdegree,degree
587843021,,,0,1,1
751429122073690112,,,8182,2,8184
2875693529,,,0,2,2
749820082348515328,,,0,1,1
818163508009431041,,,0,1,1
2868174243,,,0,5,5
3602988075,,,0,2,2
863180709330128896,,,0,2,2
1386022298,,,0,2,2
777263496673234944,,,0,2,2
3441939983,,,0,1,1
428228330,,,0,1,1
869317222757486592,,,0,1,1
3739623021,,,0,2,2
3462255983,,,0,2,2
880550173885202432,,,0,1,1
346232163,,,0,1,1
3171112408,,,0,1,1
874424704832069632,,,0,2,2
757606146,,,0,1,1
867172982124408833,,,0,1,1
849020130059321344,,,0,2,2
1623512822,,,0,1,1
864277643600031744,,,0,2,2
2898755158,,,0,1,1
814838863655043072,,,0,1,1
2883383124,,,0,2,2
922111483009536000,,,0,1,1
4260991162,,,0,1,1
1040774606,,,0,2,2
729122210166755328,,,0,1,1
749278071908364288,,,0,1,1
864243294833958912,,,0,2,2
187005279,,,0,1,1
3379738199,,,0,1,1
2400134694,,,0,2,2
701490943,,,0,1,1
219675162,,,0,2,2
1898723676,,,0,1,1
753011127127306240,,,0,1,1
4625848234,,,0,1,1
730525272060141570,,,0,1,1
2869315798,,,0,6,6
871515364668166144,,,0,1,1
827885067418685441,,,0,2,2
704477935,,,0,2,2
2707194907,,,0,6,6
2303434964,,,0,3,3
3121496460,,,0,1,1
3308681428,,,0,1,1
2888791775,,,0,1,1
354484844,,,0,5,5
2976352221,,,0,1,1
716949878224654336,,,0,1,1
3729220216,,,0,1,1
761999979737210884,,,0,2,2
4136327361,,,0,1,1
210836798,,,0,1,1
766270025464418304,,,0,1,1
1383194322,,,0,1,1
802618366452240386,,,0,2,2
2904543789,,,0,3,3
877153526031552513,,,0,1,1
889304770653171714,,,0,2,2
3622208722,,,0,1,1
2592629254,,,0,1,1
743962486722924544,,,0,2,2
1468595384,,,0,1,1
3146018687,,,0,1,1
844671716190244864,,,0,1,1
3390323231,,,0,1,1
890671593973841920,,,0,2,2
324137652,,,0,2,2
540946685,,,0,6,6
3599729536,,,0,1,1
1077462974,,,0,2,2
2805715601,,,0,2,2
914280079232061441,,,0,1,1
712126007365472260,,,0,1,1
614792780,,,0,1,1
905479480122241025,,,0,1,1
78688395,,,0,1,1
2843786481,,,0,1,1
2419730970,,,0,2,2
739654411253915648,,,0,1,1
498962147,,,0,1,1
4855714665,,,0,2,2
716404938872659968,,,0,1,1
2896828899,,,0,1,1
815357252324458496,,,0,2,2
3342161981,,,0,1,1
851904965450792960,,,0,2,2
725481274522128386,,,0,1,1
1131529592,,,0,3,3
915404879962755072,,,0,1,1
710996350570242048,,,0,1,1
3394944371,,,0,2,2
2288965695,,,0,2,2
3066303041,,,0,2,2
856755569805414400,,,0,1,1
1651560775,,,0,1,1
831921756,,,0,1,1
3079225766,,,0,1,1
722753564267933696,,,0,1,1
748669170561187840,,,0,1,1
3095730544,,,0,1,1
402296282,,,0,1,1
333482644,,,0,1,1
4038889042,,,0,1,1
762301792587743233,,,0,1,1
3343456852,,,0,1,1
3349298529,,,0,1,1
2419042863,,,0,2,2
2670692644,,,0,1,1
4828244452,,,0,1,1
2305776583,,,0,1,1
1860413149,,,0,1,1
2916835299,,,0,2,2
1654071896,,,0,2,2
288972810,,,0,1,1
855560041189040129,,,0,1,1
3246901881,,,0,1,1
2170985357,,,0,2,2
