source	target
177799660	2923397967
29764170	None
954467480377937921	328691962
4180425020	749935955927265280
810474932165611520	871133532810125312
751889081135689728	83001152
48475861	83001152
297129677	711240307405406208
3405063405	204485184
737085823473061888	871133532810125312
150007375	855456773070872576
769944375975612417	938945001203093504
1726873297	2571656740
451046588	749935955927265280
3347560407	711240307405406208
48475861	84076180
828400982396657664	328691962
880846981110923264	None
3432959230	1554592315
38751086	2157102134
135464164	871133532810125312
93901497	749935955927265280
909776335974862849	None
1966567370	764606346918518784
818602078864019458	204485184
131756203	989053890
511002586	None
551218081	None
2786316953	None
3354328371	None
61780767	274791620
810474932165611520	774592682144464896
4144864757	749935955927265280
3378031715	94199538
320925080	774592682144464896
871133532810125312	None
627015591	None
3432959230	871133532810125312
776476600678412288	None
859575832943185921	None
60150347	15249841
751889081135689728	989053890
320925080	69223042
211295496	847024596918423553
184975134	86570688
2954874089	None
710126221561044993	93896674
55849848	None
345485544	None
400177126	123710016
231508654	1917713737
936951022118895617	2571656740
482331563	None
90897488	764606346918518784
715975769479069696	None
775799850814234625	47085809
182561268	3318337402
39156232	774592682144464896
2881939144	871133532810125312
359596363	None
152865383	None
830400968160342017	81023785
197488336	714971892109742080
857320824646365184	711240307405406208
101255538	2923397967
169735769	774592682144464896
3010522882	749935955927265280
826594998246371331	738958512676573184
135464164	749935955927265280
228577853	None
78170826	361849520
923289076131823617	774592682144464896
162016775	None
850086940854583297	774592682144464896
954467480377937921	361849520
914967614551658496	83001152
243456892	749935955927265280
249668286	871133532810125312
891689585868189696	949146687058030592
179110445	774592682144464896
892045436055322625	871133532810125312
2372300844	57059339
109233956	84076180
809543208413827073	774592682144464896
2536030258	749935955927265280
335432445	None
3669481455	204485184
885869194977443841	85385808
802242187404726273	83001152
803092813	None
109980855	172508364
283882971	47603635
2466250004	3983928853
14568552	871133532810125312
249668286	855456773070872576
812375132266172416	174408858
3000800969	None
2954874089	3318337402
811577620102086656	361849520
835678458269282305	871133532810125312
717752747983028225	989053890
60062381	None
2557402077	880525171664310272
792795463141453825	None
30486121	736366217645203456
950713097567834112	774592682144464896
861976772	None
620650049	84076180
1359729006	84076180
737678629799395328	2549016857
170056032	94199538
830400968160342017	83001152
892045436055322625	871133532810125312
2954874089	4196737858
944965472	None
47085809	None
3432959230	840712063785795585
2572842606	2943093201
620650049	57059339
711240307405406208	None
25439090	2943093201
1255886100	None
1022539460	101843145
899999419558440961	871133532810125312
213519812	774592682144464896
167563810	871133532810125312
68498904	32004851
807000370929082368	86570688
955580579365490690	2923397967
4625962413	94199538
171498377	None
917477727019716608	1543591662
737067976755712000	None
822641972364058627	94199538
882906050273431552	774592682144464896
926988133115318272	774592682144464896
2398495334	749935955927265280
710126221561044993	956310652259364864
626957821	321531496
826594998246371331	330301791
4872049642	922616263268028421
835678458269282305	855456773070872576
1370805348	None
122389049	2758656195
818602078864019458	725179408865218560
400102170	227092614
952232001804873730	951948658332831744
3432959230	909776335974862849
95328628	None
339702335	361849520
2507650495	2924771138
828400982396657664	84076180
3028375066	2549016857
892045436055322625	2943093201
952974558063194112	None
126128572	2923397967
951259750402011136	949146687058030592
3233738347	2943093201
1626806365	3983928853
58064534	871133532810125312
72724285	83001152
168855531	None
620650049	83001152
161826061	84076180
710126221561044993	513519219
2316133444	749935955927265280
4617940516	47603635
69606193	122389049
3432959230	789894665055170561
4011462629	3381981081
2270587362	156846206
910586209319243776	774592682144464896
38572792	749935955927265280
342958129	None
775799850814234625	337947128
952960900750815232	871133532810125312
946839496267624448	871133532810125312
263879861	871133532810125312
905566202457726976	None
1216599770	None
764315025129504769	2549152517
914547591643320321	None
35956259	None
58086992	871133532810125312
125099830	None
3026305647	871133532810125312
892045436055322625	3318337402
832699188932603904	771461443283804160
736903879657459712	None
50065024	None
99500052	None
3233738347	3318337402
2474308904	774592682144464896
826594998246371331	37723058
1050778154	451263883
135464164	None
792795463141453825	None
